Student ID: 1 *&#$&!@# First Name: Ravin *&#$&!@# Last Name: Sandal *&#$&!@# ISBN:[] 
Student ID: 999 *&#$&!@# First Name: Mohnish *&#$&!@# Last Name: Sardal *&#$&!@# ISBN:[] 
Student ID: 8806915 *&#$&!@# First Name: Tipper *&#$&!@# Last Name: Truong *&#$&!@# ISBN:[] 
Student ID: 9463922 *&#$&!@# First Name: Quoc *&#$&!@# Last Name: Nguyen *&#$&!@# ISBN:[9781118422977] 
Student ID: 9558549 *&#$&!@# First Name: john *&#$&!@# Last Name: smith *&#$&!@# ISBN:[] 
Student ID: 342108918 *&#$&!@# First Name: Abner *&#$&!@# Last Name: Smith *&#$&!@# ISBN:[2645959822, 2645959823, 2645959824, 2645959825, 2645959826, 2645959827, 2645959828, 2645959829, 2645959830, 2645959831, 2645959833, 2645960912, 2645960916, 2645960917, 2645960918, 2645960919, 2645960920, 2645960921, 2645960922, 2645960923, 2645960924, 2645960925, 2645960926, 2645962050, 2645962051, 2645962052, 2645962053, 2645962054, 2645962055, 2645962056, 2645962057, 2645962058, 2645962059, 2645962060, 2645962061, 2645962062, 2645962063, 2645962064, 2645962065, 2645963423, 2645963424, 2645963425, 2645963426, 2645963427, 2645963428, 2645963429, 2645963430, 2645963431, 2645963432, 2645963433, 2645963434, 2645964780, 2645964781, 2645964782, 2645964783, 2645964784, 2645964785, 2645964786, 2645964787] 
Student ID: 342108919 *&#$&!@# First Name: Alistair *&#$&!@# Last Name: Johnson *&#$&!@# ISBN:[2645964788, 2645964789, 2645964790, 2645964791, 2645969818, 2645969819, 2645969820, 2645969821, 2645969822, 2645969823, 2645969824, 2645969825, 2645969826, 2645969827, 2645969828, 2645969829, 2645971026, 2645971027, 2645971028, 2645971029, 2645971030, 2645971031, 2645971032, 2645971033, 2645971034, 2645971035, 2645971036, 2645971037, 2645972063, 2645972064, 2645972065, 2645972066, 2645972067, 2645972068, 2645972069, 2645972070, 2645972071, 2645972072, 2645972073, 2645972074, 2645972075, 2645972076, 2645972077, 2645972078, 2645973238, 2645973239, 2645973240, 2645973241, 2645973242, 2645973243, 2645973244, 2645973245, 2645973246, 2645973247, 2645973248, 2645973249, 2645974677, 2645974678, 2645974679, 2645974680] 
Student ID: 342108920 *&#$&!@# First Name: Aloysius *&#$&!@# Last Name: Williams *&#$&!@# ISBN:[2645974681, 2645974682, 2645974683, 2645974684, 2645974685, 2645974686, 2645974687, 2645974688, 2645975825, 2645975826, 2645975827, 2645975828, 2645975829, 2645975830, 2645975831, 2645975832, 2645975833, 2645975834, 2645975835, 2645975836, 2645975837, 2645975838, 2645975839, 2645975840, 2645976984, 2645976985, 2645976986, 2645976987, 2645976988, 2645976989, 2645976990, 2645976991, 2645976992, 2645976993, 2645976994, 2645976995, 2645978231, 2645978232, 2645978233, 2645978234, 2645978235, 2645978236, 2645978237, 2645978238, 2645978239, 2645978240, 2645978241, 2645978242, 2645979900, 2645979957, 2645979958, 2645979959, 2645979960, 2645979961, 2645979962, 2645979963, 2645979964, 2645979965, 2645979966, 2645979967] 
Student ID: 342108921 *&#$&!@# First Name: Ambrose *&#$&!@# Last Name: Jones *&#$&!@# ISBN:[2645981464, 2645981465, 2645981466, 2645981467, 2645981468, 2645981469, 2645981470, 2645981471, 2645981472, 2645981473, 2645981474, 2645981475, 2645982261, 2645982262, 2645982263, 2645982264, 2645982265, 2645982266, 2645982267, 2645982268, 2645982269, 2645982270, 2645982271, 2645982272, 2645983424, 2645983439, 2645983440, 2645983441, 2645983442, 2645983443, 2645983444, 2645983445, 2645983446, 2645983447, 2645983448, 2645983449, 2645983450, 2645983451, 2645983452, 2645983453, 2645984699, 2645984700, 2645984701, 2645984702, 2645984703, 2645984704, 2645984705, 2645984706, 2645984707, 2645984708, 2645984709, 2645984710, 2645986481, 2645986482, 2645986483, 2645986484, 2645986485, 2645986486, 2645986487, 2645986488] 
Student ID: 342108922 *&#$&!@# First Name: Amias *&#$&!@# Last Name: Brown *&#$&!@# ISBN:[2645986489, 2645986490, 2645986491, 2645986492, 2645987743, 2645987744, 2645987745, 2645987746, 2645987747, 2645987748, 2645987749, 2645987750, 2645987751, 2645987752, 2645987753, 2645987754, 2645987755, 2645987756, 2645987757, 2645987758, 2645988885, 2645988906, 2645988907, 2645988908, 2645988909, 2645988910, 2645988911, 2645988912, 2645988913, 2645988914, 2645988915, 2645988916, 2645990363, 2645990364, 2645990365, 2645990366, 2645990367, 2645990368, 2645990369, 2645990370, 2645990371, 2645990372, 2645990373, 2645990374, 2645992326, 2645992327, 2645992328, 2645992329, 2645992330, 2645992331, 2645992332, 2645992333, 2645992334, 2645992335, 2645992336, 2645992337, 2645994338, 2645994339, 2645994340, 2645994341] 
Student ID: 342108923 *&#$&!@# First Name: Angus *&#$&!@# Last Name: Davis *&#$&!@# ISBN:[2645994342, 2645994343, 2645994344, 2645994345, 2645994346, 2645994347, 2645994348, 2645994349, 2645995499, 2645995514, 2645995515, 2645995516, 2645995517, 2645995518, 2645995519, 2645995520, 2645995521, 2645995522, 2645995523, 2645995524, 2645997554, 2645997555, 2645997556, 2645997557, 2645997558, 2645997559, 2645997560, 2645997561, 2645997562, 2645997563, 2645997564, 2645997565, 2645998912, 2645998913, 2645998914, 2645998915, 2645998916, 2645998917, 2645998918, 2645998919, 2645998920, 2645998921, 2645998922, 2645998923, 2645999850, 2645999851, 2645999852, 2645999853, 2645999854, 2645999855, 2645999856, 2645999857, 2645999858, 2645999859, 2645999860, 2645999861, 2646000874, 2646000875, 2646000876, 2646000877] 
Student ID: 342108924 *&#$&!@# First Name: Archibald *&#$&!@# Last Name: Miller *&#$&!@# ISBN:[2646000878, 2646000879, 2646000880, 2646000881, 2646000882, 2646000883, 2646000884, 2646000885, 2646000886, 2646000887, 2646000888, 2646000889, 2646001699, 2646001700, 2646001701, 2646001702, 2646001703, 2646001704, 2646001705, 2646001706, 2646001707, 2646001708, 2646001709, 2646001710, 2646002560, 2646002561, 2646002562, 2646002563, 2646002564, 2646002565, 2646002566, 2646002567, 2646002568, 2646002569, 2646002570, 2646002571, 2646003819, 2646003820, 2646003821, 2646003822, 2646003823, 2646003824, 2646003825, 2646003826, 2646003827, 2646003828, 2646003829, 2646003830, 2646003831, 2646003832, 2646003833, 2646003834, 2646004805, 2646004806, 2646004807, 2646004808, 2646004809, 2646004810, 2646004811, 2646004812] 
Student ID: 342108925 *&#$&!@# First Name: Archie *&#$&!@# Last Name: Wilson *&#$&!@# ISBN:[2646004813, 2646004814, 2646004815, 2646004816, 2646005598, 2646005599, 2646005600, 2646005601, 2646005602, 2646005603, 2646005604, 2646005605, 2646005606, 2646005607, 2646005608, 2646005609, 2646007102, 2646007103, 2646007104, 2646007105, 2646007106, 2646007107, 2646007108, 2646007109, 2646007110, 2646007111, 2646007112, 2646007113, 2646007114, 2646007115, 2646007116, 2646007117, 2646008410, 2646008411, 2646008412, 2646008413, 2646008414, 2646008415, 2646008416, 2646008417, 2646008418, 2646008419, 2646008420, 2646008421, 2646009767, 2646009768, 2646009769, 2646009770, 2646009771, 2646009772, 2646009773, 2646009774, 2646009775, 2646009776, 2646009777, 2646009778, 2646010713, 2646010714, 2646010715, 2646010716] 
Student ID: 342108926 *&#$&!@# First Name: Balthazar *&#$&!@# Last Name: Moore *&#$&!@# ISBN:[2646010717, 2646010718, 2646010719, 2646010720, 2646010721, 2646010722, 2646010723, 2646010724, 2646011647, 2646011648, 2646011649, 2646011650, 2646011651, 2646011652, 2646011653, 2646011654, 2646011655, 2646011656, 2646011657, 2646011658, 2646013318, 2646013319, 2646013320, 2646013321, 2646013322, 2646013323, 2646013324, 2646013325, 2646013326, 2646013327, 2646013328, 2646013329, 2646015100, 2646015101, 2646015102, 2646015103, 2646015104, 2646015105, 2646015106, 2646015107, 2646015108, 2646015109, 2646015110, 2646015111, 2646016557, 2646016558, 2646016559, 2646016560, 2646016561, 2646016562, 2646016563, 2646016564, 2646016565, 2646016566, 2646016567, 2646016568, 2646017810, 2646017811, 2646017812, 2646017813] 
Student ID: 342108927 *&#$&!@# First Name: Barnaby *&#$&!@# Last Name: Taylor *&#$&!@# ISBN:[2646017814, 2646017815, 2646017816, 2646017817, 2646017818, 2646017819, 2646017820, 2646017821, 2646017822, 2646017823, 2646017824, 2646017825, 2646019274, 2646019275, 2646019276, 2646019277, 2646019278, 2646019279, 2646019280, 2646019281, 2646019282, 2646019283, 2646019284, 2646019285, 2646020636, 2646020637, 2646020638, 2646020639, 2646020640, 2646020641, 2646020642, 2646020643, 2646020644, 2646020645, 2646020646, 2646020647, 2646021886, 2646021887, 2646021888, 2646021889, 2646021890, 2646021891, 2646021892, 2646021893, 2646021894, 2646021895, 2646021896, 2646021897, 2646021898, 2646021899, 2646021900, 2646023239, 2646023240, 2646023241, 2646023242, 2646023243, 2646023244, 2646023245, 2646023246, 2646023247] 
